,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1423867070408581125,1423867070408581125,1628311338000.0,2021-08-07 04:42:18,+0000,,"#RBIPolicy | At the August Policy meeting, the RBI retained policy flexibility and a positive tone on growth expectations with a tinge of caution. Radhika Rao of @dbsbank writes at  https://t.co/8KuyI18nsa   #RBI #MPC #Economy #India @RBI",en,"['rbipolicy', 'rbi', 'mpc', 'economy', 'india']",[],68927629,68927629,moneycontrolcom,moneycontrol,6,04,https://twitter.com/moneycontrolcom/status/1423867070408581125,['https://www.moneycontrol.com/news/business/markets/rbi-retains-policy-flexibility-positive-tone-on-growth-expectations-with-a-tinge-of-caution-7290861.html'],[],0,,False,1,1,0,,"['India', 'Economy', 'Policy', 'RBI']",,,,,,,[],,,,
1,1423635493741268992,1423635493741268992,1628256126000.0,2021-08-06 13:22:06,+0000,,"Shaktikanta Das, the Governor of the Reserve Bank of India (RBI) has stressed on continued policy support from all sides, including monetary and fiscal in order to enhance the nascent recovery that the economy is witnessing. Read more:  https://t.co/MPrLESOu0P #IndiaFirst",en,['indiafirst'],[],1303327690120781824,1303327690120781824,INDIAFIRSTPAPER,INDIA FIRST E-PAPER,5,13,https://twitter.com/INDIAFIRSTPAPER/status/1423635493741268992,['https://bit.ly/3saATNT'],[],0,,False,0,0,0,,"['India', 'Economy', 'Policy', 'RBI']",,,,,,,[],,,,
2,1423595743433003009,1423595743433003009,1628246649000.0,2021-08-06 10:44:09,+0000,,Indian Economy News: 06-08-21  1. PM steps in to launch national mission to meet $400 billion export target 2. RBI Monetary Policy: Here are highlights of the MPC's announcement 3. India launches sixth OALP bid round &amp; more  Read here 👉🏼  https://t.co/RuK6DeeL8r  https://t.co/aTQJfnA7ur,en,[],[],1335884794857541634,1335884794857541634,ThailandinIndia,Thailand in India,5,10,https://twitter.com/ThailandinIndia/status/1423595743433003009,['https://thaiindia.net/information/econ-news-monitor/item/4739-daily-news-monitor-6-august-2021.html'],['https://pbs.twimg.com/media/E8GgxOmUcAcXRBI.jpg'],1,https://pbs.twimg.com/media/E8GgxOmUcAcXRBI.jpg,False,3,0,0,,"['India', 'Economy', 'Policy', 'RBI']",,,,,,,[],,,,
3,1423549463210061825,1423549463210061825,1628235614000.0,2021-08-06 07:40:14,+0000,,"The Reserve Bank of India’s (RBI) monetary policy on Friday stuck to its expected course, maintaining its focus on supporting a nascent growth recovery, even as inflationary risks cloud the path ahead for our economy.  https://t.co/NAh7SyG476",en,[],[],17673635,17673635,livemint,Mint,5,07,https://twitter.com/livemint/status/1423549463210061825,['https://www.livemint.com/opinion/quick-edit/rbi-stays-the-expected-course-but-inflation-risks-are-rising-11628230685022.html'],[],0,,False,6,0,0,,"['India', 'Economy', 'Policy', 'RBI']",,,,,,,[],,,,
4,1423505247213789185,1423505247213789185,1628225073000.0,2021-08-06 04:44:33,+0000,,The Reserve Bank of India (RBI) Monetary Policy Committee has kept the interest rates unchanged.   The repo rate has been kept at 4 percent. The reverse repo rate or the central bank’s borrowing has been unchanged at 3.35 percent.  @Ms_Aflatoon #Economy #RBI,en,"['economy', 'rbi']",[],1250509987878600705,1250509987878600705,The_Dialogue_,TheDialogue,5,04,https://twitter.com/The_Dialogue_/status/1423505247213789185,[],[],0,,False,0,0,0,,"['India', 'Economy', 'Policy', 'RBI']",,,,,,,[],,,,
5,1423504388778196995,1423504388778196995,1628224868000.0,2021-08-06 04:41:08,+0000,,"Reverse repo rate remains at 3.35%, Marginal Standing Facility Rate and Bank Rate at 4.25%. RBI Governor Shaktikanta Das said the policy stance continues to be ""accommodative"".  #RBIPolicy  #ReserveBankOfIndia #India #Economy",en,"['rbipolicy', 'reservebankofindia', 'india', 'economy']",[],2937903097,2937903097,dijojackson,Dijo Jackson,5,04,https://twitter.com/dijojackson/status/1423504388778196995,[],[],0,,False,0,0,0,,"['India', 'Economy', 'Policy', 'RBI']",,,,,,,[],,,,
6,1423152851728039939,1423152851728039939,1628141055000.0,2021-08-05 05:24:15,+0000,,"RBI Monetary Policy Preview | Maneesh Dangi, Macro Investor &amp; Advisor tells @latha_venkatesh, @SurabhiUpadhyay &amp; @_soniashenoy, as far as local inflation is concerned, India has the tendency of sustaining high inflation. Adds, real estate tends to be a local economy play. (2/2)  https://t.co/Zf1QNM7LCU",en,[],[],631810714,631810714,CNBCTV18News,CNBC-TV18,4,05,https://twitter.com/CNBCTV18News/status/1423152851728039939,[],[],1,https://pbs.twimg.com/amplify_video_thumb/1423147606549561348/img/lcfR2bHLAJFWrlz0.jpg,False,13,0,1,,"['India', 'Economy', 'Policy', 'RBI']",,,,,,,[],,,,
7,1422861414360752130,1422861414360752130,1628071571000.0,2021-08-04 10:06:11,+0000,,"For the @RBI monetary policy committee, its a tightrope walk between getting #inflation under control and supporting economic growth. #India #RBI #economy #interestrates #RBIPolicy #TheWeek @TheWeekLive  https://t.co/UpOOnNEmsb",en,"['inflation', 'india', 'rbi', 'economy', 'interestrates', 'rbipolicy', 'theweek']",[],83514808,83514808,TheNachiket,NachikeT KelkaR,3,10,https://twitter.com/TheNachiket/status/1422861414360752130,['https://bit.ly/3lvywUw'],[],0,,False,0,0,0,,"['India', 'Economy', 'Policy', 'RBI']",,,,,,,[],,,,
8,1418424186691723268,1418424186691723268,1627013653000.0,2021-07-23 04:14:13,+0000,,"India's inflation situation 'very alarming'; needs better curation of policy between RBI, FinMin: Kaushik Basu  ""Indian Policy Makers Rhetorics: Inflation = Growth = $5 Trillion Economy....Enjoy""    https://t.co/emVvl35yko via @economictimes",en,[],[],291852263,291852263,mukeshmarda,mukeshmarda,5,04,https://twitter.com/mukeshmarda/status/1418424186691723268,['https://m.economictimes.com/news/economy/indicators/indias-inflation-situation-very-alarming-needs-better-curation-of-policy-between-rbi-finmin-kaushik-basu/articleshow/84653137.cms?utm_source=twitter_pwa&utm_medium=social&utm_campaign=socialsharebuttons'],[],0,,False,1,0,1,,"['India', 'Economy', 'Policy', 'RBI']",,,,,,,[],,,,
9,1414575743003029506,1414575743003029506,1626096113000.0,2021-07-12 13:21:53,+0000,,"The RBI’s next big question: how to normalize monetary policy?  For much of last year, the Reserve Bank of India (RBI) had been dealing with the problem of aplenty due to...  https://t.co/I6ct7BXLQ4  #economy #Markets #India #Growth #investments  #banking #Banks #environment #law",en,"['economy', 'markets', 'india', 'growth', 'investments', 'banking', 'banks', 'environment', 'law']",[],1239489794385661953,1239489794385661953,LegalKS,KS Legal & Associates,1,13,https://twitter.com/LegalKS/status/1414575743003029506,['https://www.linkedin.com/feed/update/urn:li:activity:6820340515263840256'],[],0,,False,0,0,0,,"['India', 'Economy', 'Policy', 'RBI']",,,,,,,[],,,,
